"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.log","20590","2021-03-15T17:11:11.9235139Z","2019-07-23T17:48:25.0000000Z","2026-07-14T07:12:40.0908150Z","533536","b6b725231a6b93d3e84d001d4adbe25ebd6c4c23a960ea8a9d374d3f8aeed98a","manifest-only","generated-file:.log",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.obj","747520","2021-03-15T17:11:11.9235139Z","2019-07-23T17:48:24.0000000Z","2026-07-14T07:12:40.0928151Z","533536","f0ecd2061aa0a9167814f4a20dadfe1e485e2a1fafdf3c5e217040cdc0e00c5d","manifest-only","generated-file:.obj",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.tlog\CL.command.1.tlog","7602","2021-03-15T17:11:11.9391354Z","2019-07-23T17:48:24.0000000Z","2026-07-14T07:12:40.0978156Z","533536","73349004d284b61adbf1cff00974fdfc374edc2b1e7cff470005883cd176d94b","manifest-only","generated-file:.tlog",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.tlog\CL.read.1.tlog","403924","2021-03-15T17:11:11.9391354Z","2019-07-23T17:48:24.0000000Z","2026-07-14T07:12:40.0988147Z","533536","d3992f1790c083d891b68f1e9ed9088265c395d078e94c3dfd6b597b7ed6e465","manifest-only","generated-file:.tlog",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.tlog\CL.write.1.tlog","10546","2021-03-15T17:11:11.9391354Z","2019-07-23T17:48:24.0000000Z","2026-07-14T07:12:40.1028156Z","533536","ac3841ec57765e4237856b9c182730bfad41426441164814cb36ed60139d37c0","manifest-only","generated-file:.tlog",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.tlog\link.command.1.tlog","6030","2021-03-15T17:11:11.9391354Z","2019-07-23T17:48:25.0000000Z","2026-07-14T07:12:40.1038443Z","533536","3c6edb6d9d47137128fd98a3f7706c2365ec117f950f636db813001ea6c4d8fb","manifest-only","generated-file:.tlog",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.tlog\link.read.1.tlog","10542","2021-03-15T17:11:11.9391354Z","2019-07-23T17:48:25.0000000Z","2026-07-14T07:12:40.1058442Z","533536","801e260bf2cde78cd646ab7aa39850f146a80b5366be0d7fb238af62674edf85","manifest-only","generated-file:.tlog",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.tlog\link.write.1.tlog","3044","2021-03-15T17:11:11.9391354Z","2019-07-23T17:48:25.0000000Z","2026-07-14T07:12:40.1078145Z","533536","9b8c9aee5d46fa6895449cd483d30cd4155e38496ab8b28b9b7d79854619afca","manifest-only","generated-file:.tlog",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.tlog\Shamir_Secret.lastbuildstate","342","2021-03-15T17:11:11.9391354Z","2019-07-23T17:48:25.0000000Z","2026-07-14T07:12:40.1088159Z","533536","ff0c5adb91c7dc6a1239d58b66fbc1cdce04341d70d0c9a3d28d00b56d9deeb2","manifest-only","generated-file:.lastbuildstate",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Debug\StrHelper.obj","479833","2021-03-15T17:11:11.9235139Z","2019-07-23T17:48:23.0000000Z","2026-07-14T07:12:40.1098448Z","533536","089a7ad6394244207f2cd65f48e7ac1277c7abd7deb62261d7ef4b0f990c8168","manifest-only","generated-file:.obj",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Debug\vc142.idb","920576","2021-03-15T17:11:11.9391354Z","2019-07-23T17:48:23.0000000Z","2026-07-14T07:12:40.1138136Z","533536","31246980f58a0857508620701afd89a4629aed1ca60fb1914bfec9af827c2387","manifest-only","generated-file:.idb",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Debug\vc142.pdb","1314816","2021-03-15T17:11:11.9235139Z","2019-07-23T17:48:24.0000000Z","2026-07-14T07:12:40.1188140Z","533536","033911ea04ebd264841e98e856d1df3ba64d4f008e4038e49cc6b685853c43f1","manifest-only","generated-file:.pdb",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\FileIO.cpp","6930","2021-03-15T17:11:18.1055857Z","2019-06-09T13:51:46.0000000Z","2026-07-14T07:12:40.1264304Z","533536","048479f099f2dd381d2e9776d4ad3b852725c622a21250ef3f0b3a94775af62d","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\FileIO.cpp"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\FileIO.h","2330","2021-03-15T17:11:18.1055857Z","2019-06-09T13:55:41.0000000Z","2026-07-14T07:12:40.1352165Z","533536","ad762076afa8d5dc27580b8d0d02c939b2779cd65c12e13f99cd87829d33040d","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\FileIO.h"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\infoIO.cpp","4573","2021-03-15T17:11:18.0899637Z","2019-06-01T22:02:49.0000000Z","2026-07-14T07:12:40.1442186Z","533536","063b824e425b9d09038585c65769302ebb6ac98d11aa7b8ff4d71bec99eaee6d","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\infoIO.cpp"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\InfoIO.h","7775","2021-03-15T17:11:18.0899637Z","2019-06-01T22:06:07.0000000Z","2026-07-14T07:12:40.1542206Z","533536","4cfebb2ec61240eedceaee2a0aac17f31158e294069b23c04e8d40636dc903b1","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\InfoIO.h"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Main.py","912","2021-03-15T17:11:18.0899637Z","2019-06-11T18:45:04.0000000Z","2026-07-14T07:12:40.1632465Z","533536","7da7cd7c819d8b146d69e70c6b670ba525cb8ee3f103d5647dcb46def00af5db","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Main.py"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Pair.h","302","2021-03-15T17:11:18.0899637Z","2019-06-09T13:43:23.0000000Z","2026-07-14T07:12:40.1752153Z","533536","d693ebddacc34b908a1c4dd44e2737a6aeb29064483fe36e7df8d762b19a41d6","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Pair.h"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\pch.h","548","2021-03-15T17:11:18.0899637Z","2019-06-01T22:25:28.0000000Z","2026-07-14T07:12:40.1845284Z","533536","e3161d35dd2ed0fb1d11c10123ab2007ee2074d5ef4d44afc35fba801c6434d4","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\pch.h"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Polynom.cpp","42","2021-03-15T17:11:18.0899637Z","2019-01-10T14:57:54.0000000Z","2026-07-14T07:12:40.1935273Z","533536","e8d5028007f8324eed002c97560c87c0b727b140f2e4a1a80189069d89dda043","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Polynom.cpp"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Polynom.h","11185","2021-03-15T17:11:18.0899637Z","2019-06-09T13:45:19.0000000Z","2026-07-14T07:12:40.2025439Z","533536","008adcd685d8e0ee6b6ee5cacd13c06d3235bb5ed5a696b127a49b432a0e13eb","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Polynom.h"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Shamir_Secret.cpp","5284","2021-03-15T17:11:18.0899637Z","2019-06-11T19:05:37.0000000Z","2026-07-14T07:12:40.2126522Z","533536","2635e76f0dcad6b58a9c888fcedfbe1f855adf0993c2f8833b654c1b2dfb25a4","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Shamir_Secret.cpp"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Shamir_Secret.vcxproj","7985","2021-03-15T17:11:18.0899637Z","2019-06-09T13:53:44.0000000Z","2026-07-14T07:12:40.2216015Z","533536","2dc991c5c5632fdf4794d1346d5ff084841aa90267c1c33e6c102cd5399d4350","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Shamir_Secret.vcxproj"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Shamir_Secret.vcxproj.filters","2048","2021-03-15T17:11:18.0899637Z","2019-06-09T13:53:44.0000000Z","2026-07-14T07:12:40.2316007Z","533536","4751bbedeac6d1afc06b66bd42b0f488551c3f562abc8d7ad4265019ee050063","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Shamir_Secret.vcxproj.filters"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\Shamir_Secret.vcxproj.user","168","2021-03-15T17:11:18.0743424Z","2019-06-01T15:21:11.0000000Z","2026-07-14T07:12:40.2406046Z","533536","c06a75b13f855a94d46616796e024c52b499f8f92cf00ccb571ddbc6ff574676","manifest-only","generated-file:.user",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\StrHelper.cpp","2462","2021-03-15T17:11:18.0743424Z","2019-05-26T09:52:03.0000000Z","2026-07-14T07:12:40.2426011Z","533536","747ba10ddfcd518845a2d7fbcf999ac10f3d1377683fdcb0107cc2d454afabfd","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\StrHelper.cpp"
